16.4,20.11,0.699,8.07,0.0105
16.2,19.1,0.517,4.92,0.00555,Graphene-Coated Carbon Fiber Sheet
15.9,16.7,2.79,2.22,0.151,Boron Nitride Nanotube Composite
16.4,17.2,4.72,6.01,0.458,Boron Nitride Nanotube Composite
14.7,17.2,1.97,5.16,0.0859,Graphene-Coated Carbon Fiber Sheet
15.3,17.4,3.13,4.01,0.201,Boron Nitride Nanotube Composite
15.5,17.7,3.21,6.65,0.228,Boron Nitride Nanotube Composite
17.2,19.2,2.87,7.59,0.159,Boron Nitride Nanotube Composite
15.9,11.4,2.71,5.19,0.166,Boron Nitride Nanotube Composite
15.6,14.9,2.38,8.89,0.129,Boron Nitride Nanotube Composite
19.0,17.6,1.54,10.3,0.0458,Silicon Oxycarbide Shield Tile
16.5,10.9,2.6,6.34,0.154,Boron Nitride Nanotube Composite
14.8,17.2,1.35,7.47,0.0482,Graphene-Coated Carbon Fiber Sheet
14.8,14.9,3.97,5.97,0.376,Boron Nitride Nanotube Composite
14.1,13.7,0.51,5.26,0.00548,Zirconium Dioxide Ceramic Heat Sink
14.0,15.7,0.482,4.07,0.00489,Zirconium Dioxide Ceramic Heat Sink
14.0,16.1,0.365,6.34,0.00329,Boron Nitride Nanotube Composite
16.6,18.5,2.91,8.59,0.174,Nanocrystalline Diamond Thermal Spreader
14.4,15.1,3.71,4.93,0.343,Boron Nitride Nanotube Composite
14.5,17.1,1.88,2.83,0.0724,Nanocrystalline Diamond Thermal Spreader
15.4,19.5,1.11,5.67,0.0274,Nanocrystalline Diamond Thermal Spreader
15.7,19.1,3.39,5.9,0.219,Silicon Oxycarbide Shield Tile
17.1,14.4,0.772,10.8,0.0122,Graphene-Coated Carbon Fiber Sheet
14.4,17.5,2.96,4.03,0.187,Boron Nitride Nanotube Composite
16.6,20.5,1.69,4.24,0.0573,Graphene-Coated Carbon Fiber Sheet
14.9,15.9,4.71,3.73,0.442,Boron Nitride Nanotube Composite
15.7,10.7,2.5,6.4,0.149,Boron Nitride Nanotube Composite
15.1,11.0,0.457,6.23,0.0054,Zirconium Dioxide Ceramic Heat Sink
14.8,17.3,4.33,5.97,0.425,Boron Nitride Nanotube Composite
16.1,17.0,2.86,9.8,0.165,Silicon Oxycarbide Shield Tile
13.8,13.8,1.11,3.19,0.0238,Boron Nitride Nanotube Composite
16.2,19.4,1.54,8.52,0.0481,Zirconium Dioxide Ceramic Heat Sink
17.6,18.8,2.45,9.88,0.123,Nanocrystalline Diamond Thermal Spreader
16.4,20.1,0.874,2.59,0.0164,Graphene-Coated Carbon Fiber Sheet
14.4,14.2,4.1,3.38,0.34,Boron Nitride Nanotube Composite
16.6,20.1,0.689,8.17,0.0115,Zirconium Dioxide Ceramic Heat Sink
14.0,12.7,1.13,7.15,0.0289,Graphene-Coated Carbon Fiber Sheet
14.2,14.0,3.25,7.59,0.249,Boron Nitride Nanotube Composite
14.9,19.2,1.07,7.12,0.0247,Zirconium Dioxide Ceramic Heat Sink
15.2,16.5,0.929,9.78,0.0215,Zirconium Dioxide Ceramic Heat Sink
15.0,13.0,2.37,8.96,0.11,Boron Nitride Nanotube Composite
13.8,13.1,2.93,5.75,0.208,Boron Nitride Nanotube Composite
14.5,12.6,1.26,2.04,0.0382,Nanocrystalline Diamond Thermal Spreader
13.9,12.3,1.67,6.53,0.0705,Silicon Oxycarbide Shield Tile
14.8,19.2,2.87,4.16,0.178,Boron Nitride Nanotube Composite
16.1,20.2,2.53,3.12,0.124,Boron Nitride Nanotube Composite
13.7,15.4,2.6,7.68,0.131,Silicon Oxycarbide Shield Tile
15.5,19.1,1.51,8.63,0.0412,Nanocrystalline Diamond Thermal Spreader
14.1,17.1,1.68,8.31,0.0579,Aerogel-Infused Carbon Fiber Panel
16.4,14.1,0.418,11.0,0.0038,Zirconium Dioxide Ceramic Heat Sink
13.4,15.1,3.53,4.95,0.336,Boron Nitride Nanotube Composite
13.5,15.3,3.67,5.97,0.353,Boron Nitride Nanotube Composite
13.2,15.5,0.902,3.15,0.017,Boron Nitride Nanotube Composite
17.5,21.5,0.223,6.49,0.00131,Zirconium Dioxide Ceramic Heat Sink
17.0,19.8,4.54,2.79,0.388,Boron Nitride Nanotube Composite
14.1,16.9,4.42,3.98,0.411,Boron Nitride Nanotube Composite
13.8,18.8,0.754,5.42,0.0141,Graphene-Coated Carbon Fiber Sheet
16.9,20.7,3.41,7.18,0.227,Reinforced Carbon-Carbon (RCC) Shield Tile
14.8,16.3,4.67,8.27,0.443,Boron Nitride Nanotube Composite
13.5,14.4,2.94,7.57,0.224,Boron Nitride Nanotube Composite
14.1,18.9,1.5,3.38,0.0414,Graphene-Coated Carbon Fiber Sheet
17.7,9.19,1.39,2.3,0.0424,Graphene-Coated Carbon Fiber Sheet
13.8,18.8,1.99,5.42,0.0714,Graphene-Coated Carbon Fiber Sheet
13.3,12.8,1.63,6.53,0.0669,Aerogel-Infused Carbon Fiber Panel
13.1,17.4,1.62,5.57,0.058,Graphene-Coated Carbon Fiber Sheet
13.3,15.5,3.3,6.79,0.228,Boron Nitride Nanotube Composite
17.0,21.3,1.98,3.32,0.0751,Nanocrystalline Diamond Thermal Spreader
14.9,20.2,1.48,4.16,0.049,Graphene-Coated Carbon Fiber Sheet
13.9,16.8,4.36,3.7,0.405,Boron Nitride Nanotube Composite
18.3,13.7,2.61,11.8,0.141,Boron Nitride Nanotube Composite
13.7,17.6,1.13,2.27,0.0287,Boron Nitride Nanotube Composite
19.8,15.7,1.35,12.3,0.0353,Zirconium Dioxide Ceramic Heat Sink
16.1,19.8,4.19,2.73,0.346,Boron Nitride Nanotube Composite
13.4,17.3,2.96,3.58,0.172,Silicon Oxycarbide Shield Tile
16.9,21.6,0.266,6.67,0.00175,Zirconium Dioxide Ceramic Heat Sink
12.7,15.7,1.38,3.73,0.0408,Graphene-Coated Carbon Fiber Sheet
13.6,18.0,1.12,2.65,0.0267,Graphene-Coated Carbon Fiber Sheet
14.8,11.5,1.14,8.95,0.0326,Zirconium Dioxide Ceramic Heat Sink
15.5,20.0,1.42,8.53,0.0429,Graphene-Coated Carbon Fiber Sheet
16.1,9.74,1.88,2.32,0.075,Graphene-Coated Carbon Fiber Sheet
12.7,13.7,1.72,4.79,0.0604,Graphene Nanoplatelet Thermal Interface Material
18.5,14.7,1.21,12.3,0.0299,Zirconium Dioxide Ceramic Heat Sink
17.3,20.1,1.35,0.503,0.0356,Boron Nitride Nanotube Composite
16.1,10.4,4.43,3.18,0.449,Boron Nitride Nanotube Composite
14.6,13.0,4.78,2.6,0.485,Boron Nitride Nanotube Composite
15.0,17.3,4.39,8.96,0.398,Boron Nitride Nanotube Composite
17.6,8.49,2.07,6.56,0.0858,Nanocrystalline Diamond Thermal Spreader
18.4,22.2,0.231,6.34,0.00139,Zirconium Dioxide Ceramic Heat Sink
13.4,16.6,3.36,2.86,0.287,Boron Nitride Nanotube Composite
13.2,16.6,3.92,5.65,0.329,Graphene Nanoplatelet Thermal Interface Material
17.5,13.0,1.3,11.8,0.0323,Nanocrystalline Diamond Thermal Spreader
16.8,18.6,3.49,10.4,0.256,Silicon Oxycarbide Shield Tile
13.1,16.3,3.27,7.01,0.263,Boron Nitride Nanotube Composite
16.2,20.0,1.47,9.45,0.0459,Graphene-Coated Carbon Fiber Sheet
15.0,18.8,3.29,8.85,0.251,Silicon Oxycarbide Shield Tile
13.4,16.0,1.03,8.87,0.0225,Graphene-Coated Carbon Fiber Sheet
14.1,16.6,4.33,8.23,0.417,Boron Nitride Nanotube Composite
15.9,10.6,4.47,2.79,0.451,Boron Nitride Nanotube Composite
12.7,17.2,0.754,4.17,0.0112,Graphene-Coated Carbon Fiber Sheet
13.1,17.4,3.07,6.37,0.177,Graphene-Coated Carbon Fiber Sheet
15.0,14.0,5.12,8.87,0.498,Boron Nitride Nanotube Composite
14.5,20.3,1.4,6.27,0.0466,Graphene-Coated Carbon Fiber Sheet
13.5,15.5,4.4,3.04,0.372,Reinforced Carbon-Carbon (RCC) Shield Tile
13.8,13.1,4.57,3.5,0.405,Boron Nitride Nanotube Composite
15.0,17.3,4.14,0.892,0.376,Reinforced Carbon-Carbon (RCC) Shield Tile
13.2,18.0,1.21,7.52,0.0305,Graphene-Coated Carbon Fiber Sheet
18.4,22.5,0.599,5.98,0.0073,Nanocrystalline Diamond Thermal Spreader
14.6,19.5,3.68,7.22,0.3,Reinforced Carbon-Carbon (RCC) Shield Tile
13.7,13.4,4.84,3.94,0.455,Boron Nitride Nanotube Composite
13.4,17.4,4.12,3.98,0.389,Boron Nitride Nanotube Composite
16.6,21.9,0.173,6.21,0.000876,Zirconium Dioxide Ceramic Heat Sink
12.7,15.9,3.44,6.0,0.336,Boron Nitride Nanotube Composite
17.0,17.3,4.63,10.8,0.44,Boron Nitride Nanotube Composite
13.8,19.4,2.67,4.06,0.152,Boron Nitride Nanotube Composite
12.2,15.7,1.4,5.11,0.0445,Graphene-Coated Carbon Fiber Sheet
14.4,18.5,4.83,6.82,0.563,Boron Nitride Nanotube Composite
16.7,15.5,0.565,12.1,0.0073,Zirconium Dioxide Ceramic Heat Sink
17.0,16.8,4.95,10.8,0.468,Boron Nitride Nanotube Composite
12.9,17.5,2.83,6.67,0.212,Boron Nitride Nanotube Composite
14.8,19.0,1.53,9.52,0.0519,Graphene-Coated Carbon Fiber Sheet
14.0,15.6,2.27,0.403,0.113,Graphene Nanoplatelet Thermal Interface Material
14.9,11.6,2.71,0.877,0.155,Diamond-Like Carbon (DLC) Coated Radiator
13.1,17.4,3.92,6.01,0.342,Boron Nitride Nanotube Composite
15.7,17.9,2.49,10.9,0.127,Nanocrystalline Diamond Thermal Spreader
17.3,19.2,2.95,10.9,0.167,Boron Nitride Nanotube Composite
12.5,15.8,2.14,7.35,0.0975,Boron Nitride Nanotube Composite
13.1,11.8,2.66,5.75,0.186,Boron Nitride Nanotube Composite
17.1,17.0,4.95,10.9,0.467,Boron Nitride Nanotube Composite
12.2,15.3,2.52,5.11,0.145,Boron Nitride Nanotube Composite
13.0,14.1,3.33,2.46,0.294,Aerogel-Infused Carbon Fiber Panel
13.8,17.1,2.1,9.64,0.0957,Boron Nitride Nanotube Composite
17.0,17.8,4.58,10.9,0.435,Boron Nitride Nanotube Composite
12.6,17.4,1.01,7.29,0.0196,Graphene-Coated Carbon Fiber Sheet
14.6,18.8,1.63,9.75,0.0512,Graphene-Coated Carbon Fiber Sheet
13.0,16.4,2.92,1.97,0.208,Reinforced Carbon-Carbon (RCC) Shield Tile
12.6,18.4,1.32,5.39,0.0321,Graphene-Coated Carbon Fiber Sheet
12.7,14.4,0.502,1.88,0.00533,Graphene-Coated Carbon Fiber Sheet
16.3,21.5,3.47,3.34,0.248,Reinforced Carbon-Carbon (RCC) Shield Tile
14.5,10.9,3.25,2.0,0.25,Graphene Nanoplatelet Thermal Interface Material
12.3,15.6,2.03,7.55,0.0745,Graphene-Coated Carbon Fiber Sheet
12.1,13.4,2.07,5.06,0.128,Graphene-Coated Carbon Fiber Sheet
12.2,14.9,0.886,2.78,0.0154,Graphene-Coated Carbon Fiber Sheet
14.0,17.6,4.14,8.96,0.377,Boron Nitride Nanotube Composite
15.5,20.6,4.02,2.69,0.329,Boron Nitride Nanotube Composite
18.0,22.4,0.245,2.5,0.00161,Boron Nitride Nanotube Composite
16.5,21.8,0.344,8.14,0.00292,Zirconium Dioxide Ceramic Heat Sink
16.4,20.0,3.74,0.59,0.287,Reinforced Carbon-Carbon (RCC) Shield Tile
20.3,11.7,0.665,12.3,0.00891,Nanocrystalline Diamond Thermal Spreader
12.2,17.5,2.09,5.72,0.0848,Diamond-Like Carbon (DLC) Coated Radiator
14.7,21.2,2.08,4.21,0.0905,Graphene-Coated Carbon Fiber Sheet
16.4,19.3,2.81,10.9,0.16,Boron Nitride Nanotube Composite
12.4,18.2,0.279,6.27,0.00197,Boron Nitride Nanotube Composite
13.6,18.6,4.54,6.7,0.539,Boron Nitride Nanotube Composite
12.8,17.3,4.06,3.68,0.389,Boron Nitride Nanotube Composite
14.9,10.1,4.2,3.08,0.437,Boron Nitride Nanotube Composite
12.9,18.4,2.58,7.49,0.13,Graphene-Coated Carbon Fiber Sheet
14.4,19.9,3.8,2.75,0.31,Boron Nitride Nanotube Composite
13.8,16.6,3.13,0.417,0.243,Boron Nitride Nanotube Composite
14.2,20.1,2.0,8.3,0.0826,Boron Nitride Nanotube Composite
13.9,20.5,2.75,4.95,0.192,Reinforced Carbon-Carbon (RCC) Shield Tile
13.7,17.8,2.74,9.59,0.168,Boron Nitride Nanotube Composite
20.8,15.5,1.03,13.2,0.0199,Zirconium Dioxide Ceramic Heat Sink
13.9,20.7,0.457,6.24,0.00475,Zirconium Dioxide Ceramic Heat Sink
13.1,19.5,1.93,3.58,0.0764,Graphene-Coated Carbon Fiber Sheet
12.8,13.2,3.83,2.78,0.311,Boron Nitride Nanotube Composite
20.7,13.6,0.938,13.1,0.0167,Zirconium Dioxide Ceramic Heat Sink
14.1,16.1,5.16,1.18,0.507,Boron Nitride Nanotube Composite
15.4,17.5,4.34,10.8,0.425,Boron Nitride Nanotube Composite
14.6,10.3,4.21,2.75,0.438,Boron Nitride Nanotube Composite
16.3,19.8,2.27,10.9,0.119,Boron Nitride Nanotube Composite
15.5,17.3,1.17,11.9,0.028,Graphene-Coated Carbon Fiber Sheet
12.2,16.0,3.05,2.83,0.194,Boron Nitride Nanotube Composite
12.1,14.2,2.68,7.57,0.209,Boron Nitride Nanotube Composite
12.2,18.4,1.86,5.26,0.0652,Boron Nitride Nanotube Composite
16.1,9.31,4.69,2.83,0.489,Boron Nitride Nanotube Composite
12.6,17.9,3.83,4.0,0.373,Boron Nitride Nanotube Composite
13.9,21.0,1.7,4.96,0.0527,Silicon Oxycarbide Shield Tile
13.7,19.7,4.07,3.81,0.369,Reinforced Carbon-Carbon (RCC) Shield Tile
14.7,18.0,1.61,11.1,0.0472,Silicon Oxycarbide Shield Tile
13.3,12.5,2.01,0.877,0.1,Boron Nitride Nanotube Composite
13.2,12.8,2.01,0.834,0.0976,Boron Nitride Nanotube Composite
14.8,9.9,4.32,2.89,0.448,Boron Nitride Nanotube Composite
15.5,18.0,4.27,10.9,0.412,Boron Nitride Nanotube Composite
12.9,12.8,2.86,8.86,0.172,Boron Nitride Nanotube Composite
11.4,15.1,0.38,5.25,0.00321,Zirconium Dioxide Ceramic Heat Sink
17.3,22.7,0.547,7.9,0.00628,Zirconium Dioxide Ceramic Heat Sink
13.3,20.1,0.418,7.29,0.00394,Graphene-Coated Carbon Fiber Sheet
16.1,19.8,2.43,11.0,0.126,Boron Nitride Nanotube Composite
16.7,20.5,1.68,10.9,0.0579,Graphene-Coated Carbon Fiber Sheet
14.7,21.4,3.54,5.29,0.269,Reinforced Carbon-Carbon (RCC) Shield Tile
13.3,18.9,2.92,8.64,0.183,Diamond-Like Carbon (DLC) Coated Radiator
12.4,14.7,2.36,9.05,0.147,Silicon Oxycarbide Shield Tile
16.4,21.3,3.3,9.35,0.229,Reinforced Carbon-Carbon (RCC) Shield Tile
14.0,21.2,2.07,4.1,0.0829,Nanocrystalline Diamond Thermal Spreader
11.9,18.3,1.69,5.38,0.0588,Graphene-Coated Carbon Fiber Sheet
14.9,21.4,3.87,4.11,0.307,Reinforced Carbon-Carbon (RCC) Shield Tile
16.6,16.2,1.17,13.0,0.0269,Zirconium Dioxide Ceramic Heat Sink
14.4,20.6,3.81,2.76,0.316,Boron Nitride Nanotube Composite
15.5,22.5,0.279,5.26,0.00197,Boron Nitride Nanotube Composite
14.5,17.6,5.36,9.58,0.702,Graphene-Coated Carbon Fiber Sheet
14.6,18.6,2.78,10.8,0.182,Nanocrystalline Diamond Thermal Spreader
15.1,22.3,0.644,6.11,0.00869,Nanocrystalline Diamond Thermal Spreader
13.8,20.9,0.365,3.01,0.00299,Zirconium Dioxide Ceramic Heat Sink
15.9,21.0,3.58,9.42,0.252,Reinforced Carbon-Carbon (RCC) Shield Tile
15.5,20.2,1.35,10.7,0.0377,Graphene-Coated Carbon Fiber Sheet
15.0,22.0,0.208,7.22,0.00124,Boron Nitride Nanotube Composite
13.0,19.9,2.29,7.31,0.105,Diamond-Like Carbon (DLC) Coated Radiator
15.1,19.3,2.64,10.9,0.152,Boron Nitride Nanotube Composite
11.2,16.3,1.02,5.14,0.0204,Graphene-Coated Carbon Fiber Sheet
11.7,12.6,2.6,4.86,0.151,Diamond-Like Carbon (DLC) Coated Radiator
12.1,15.6,3.75,2.39,0.35,Boron Nitride Nanotube Composite
13.1,20.4,1.87,6.72,0.0708,Boron Nitride Nanotube Composite
12.9,20.3,1.86,4.33,0.0713,Diamond-Like Carbon (DLC) Coated Radiator
12.2,11.9,2.16,2.85,0.134,Graphene-Coated Carbon Fiber Sheet
14.1,14.0,1.76,11.6,0.07,Aerogel-Infused Carbon Fiber Panel
11.8,15.5,2.57,8.29,0.136,Boron Nitride Nanotube Composite
12.5,12.1,3.1,2.26,0.254,Boron Nitride Nanotube Composite
12.5,17.2,3.99,8.33,0.392,Boron Nitride Nanotube Composite
15.0,10.0,5.21,2.43,0.527,Boron Nitride Nanotube Composite
11.3,14.9,3.09,5.12,0.193,Diamond-Like Carbon (DLC) Coated Radiator
12.7,11.7,2.91,8.4,0.206,Diamond-Like Carbon (DLC) Coated Radiator
11.5,16.2,1.02,2.57,0.0203,Graphene-Coated Carbon Fiber Sheet
19.6,18.8,0.89,13.1,0.0163,Graphene-Coated Carbon Fiber Sheet
12.9,17.8,1.3,0.475,0.0344,Graphene-Coated Carbon Fiber Sheet
14.2,20.4,3.89,8.33,0.277,Graphene-Coated Carbon Fiber Sheet
14.0,21.4,0.981,2.96,0.0192,Graphene-Coated Carbon Fiber Sheet
12.9,16.9,2.93,0.403,0.233,Boron Nitride Nanotube Composite
11.3,14.5,3.17,5.7,0.287,Boron Nitride Nanotube Composite
12.4,18.0,2.61,8.73,0.151,Boron Nitride Nanotube Composite
13.0,16.2,4.81,1.21,0.46,Boron Nitride Nanotube Composite
12.2,13.5,4.15,2.47,0.445,Boron Nitride Nanotube Composite
11.5,17.4,2.52,6.76,0.198,Boron Nitride Nanotube Composite
13.4,21.3,0.55,5.14,0.00642,Boron Nitride Nanotube Composite
11.2,17.4,1.06,4.83,0.0214,Graphene-Coated Carbon Fiber Sheet
13.2,19.2,1.28,9.57,0.0309,Graphene-Coated Carbon Fiber Sheet
11.9,14.3,3.62,8.17,0.298,Graphene Nanoplatelet Thermal Interface Material
13.2,19.4,4.41,7.57,0.517,Boron Nitride Nanotube Composite
12.6,18.0,3.1,1.32,0.189,Silicon Oxycarbide Shield Tile
19.2,13.7,0.536,13.9,0.00642,Zirconium Dioxide Ceramic Heat Sink
11.5,12.6,2.39,3.7,0.137,Boron Nitride Nanotube Composite
13.2,21.2,1.06,4.9,0.021,Graphene-Coated Carbon Fiber Sheet
14.1,19.0,1.49,10.9,0.0426,Graphene-Coated Carbon Fiber Sheet
13.9,17.2,0.718,11.6,0.0117,Graphene-Coated Carbon Fiber Sheet
14.1,17.5,4.04,10.9,0.414,Boron Nitride Nanotube Composite
13.7,9.84,4.0,3.08,0.427,Boron Nitride Nanotube Composite
11.8,17.7,3.74,3.71,0.368,Boron Nitride Nanotube Composite
12.6,12.4,1.02,9.75,0.0198,Silicon Oxycarbide Shield Tile
15.7,22.2,0.494,8.93,0.00526,Boron Nitride Nanotube Composite
13.6,9.9,3.97,3.04,0.417,Boron Nitride Nanotube Composite
12.4,20.0,1.67,3.61,0.0632,Graphene-Coated Carbon Fiber Sheet
12.8,18.8,4.54,2.76,0.429,Boron Nitride Nanotube Composite
13.3,17.9,3.04,10.4,0.19,Phenolic Impregnated Carbon Ablator (PICA)
15.3,21.4,3.04,9.38,0.214,Reinforced Carbon-Carbon (RCC) Shield Tile
13.2,21.2,1.98,4.6,0.0707,Graphene-Coated Carbon Fiber Sheet
11.1,14.5,2.3,7.09,0.11,Graphene-Coated Carbon Fiber Sheet
14.9,22.6,0.259,6.6,0.00168,Boron Nitride Nanotube Composite
13.6,15.0,4.54,10.7,0.476,Boron Nitride Nanotube Composite
12.6,12.8,4.12,8.98,0.336,Phenolic Impregnated Carbon Ablator (PICA)
14.2,21.8,2.7,3.28,0.135,Nanocrystalline Diamond Thermal Spreader
13.1,20.7,3.03,3.62,0.193,Silicon Oxycarbide Shield Tile
11.1,16.4,3.15,5.94,0.323,Boron Nitride Nanotube Composite
13.7,18.3,2.96,10.8,0.182,Phenolic Impregnated Carbon Ablator (PICA)
13.4,21.5,0.304,6.23,0.00219,Zirconium Dioxide Ceramic Heat Sink
12.3,17.7,3.76,8.72,0.353,Boron Nitride Nanotube Composite
12.6,18.9,1.27,9.34,0.0369,Graphene-Coated Carbon Fiber Sheet
23.0,16.8,0.0665,13.4,0.000219,Boron Nitride Nanotube Composite
11.7,18.9,2.88,4.9,0.187,Boron Nitride Nanotube Composite
10.9,14.9,2.91,5.68,0.269,Boron Nitride Nanotube Composite
11.7,12.8,1.1,1.77,0.0254,Boron Nitride Nanotube Composite
13.6,21.5,3.14,5.26,0.242,Reinforced Carbon-Carbon (RCC) Shield Tile
12.4,14.9,3.94,0.806,0.349,Graphene Nanoplatelet Thermal Interface Material
12.9,17.9,1.52,10.5,0.0426,Silicon Oxycarbide Shield Tile
11.7,18.4,3.0,7.09,0.229,Boron Nitride Nanotube Composite
15.3,21.2,3.69,9.62,0.268,Reinforced Carbon-Carbon (RCC) Shield Tile
12.1,17.8,1.6,9.38,0.0472,Graphene-Coated Carbon Fiber Sheet
11.9,14.6,4.9,7.62,0.476,Nanocrystalline Diamond Thermal Spreader
12.3,13.4,3.56,9.45,0.257,Diamond-Like Carbon (DLC) Coated Radiator
12.8,20.3,2.37,2.53,0.112,Diamond-Like Carbon (DLC) Coated Radiator
10.9,16.3,1.2,7.24,0.0285,Silicon Oxycarbide Shield Tile
14.8,21.5,3.86,8.5,0.322,Reinforced Carbon-Carbon (RCC) Shield Tile
11.9,11.0,2.86,6.16,0.242,Boron Nitride Nanotube Composite
12.2,17.3,5.61,5.84,0.716,Boron Nitride Nanotube Composite
11.2,14.4,4.05,5.98,0.408,Boron Nitride Nanotube Composite
11.1,17.3,1.71,7.28,0.055,Graphene-Coated Carbon Fiber Sheet
12.2,19.9,3.18,5.06,0.217,Silicon Oxycarbide Shield Tile
16.4,18.8,3.49,12.5,0.232,Boron Nitride Nanotube Composite
11.9,16.1,2.01,0.662,0.0875,Diamond-Like Carbon (DLC) Coated Radiator
13.1,21.4,1.87,6.1,0.066,Boron Nitride Nanotube Composite
11.1,18.1,1.24,4.06,0.0293,Graphene-Coated Carbon Fiber Sheet
14.0,21.8,3.62,4.29,0.286,Reinforced Carbon-Carbon (RCC) Shield Tile
12.1,20.0,1.23,3.45,0.0281,Graphene-Coated Carbon Fiber Sheet
12.0,18.1,2.01,9.11,0.0724,Graphene-Coated Carbon Fiber Sheet
14.4,21.7,4.56,6.08,0.436,Reinforced Carbon-Carbon (RCC) Shield Tile
12.1,17.8,1.0,9.64,0.0204,Graphene-Coated Carbon Fiber Sheet
14.0,21.7,0.521,2.14,0.00569,Boron Nitride Nanotube Composite
13.1,17.4,5.01,0.791,0.489,Boron Nitride Nanotube Composite
11.2,17.4,3.53,4.33,0.332,Silicon Oxycarbide Shield Tile
